Element,Half life time/d,Ref Activity/Bq,T Ref,t,Activity/Bq
Co,11012,2.38E+05,1995-10-16,9320,"132,428.92"
Cs,1925.2,8.53E+04,2015-09-24,2037,"40,967.33"
